date,analyse d'images,analyse/synthèse vocale,nlp non génératif,traitement du signal,ia générative
2019-01-01,,,,,
2019-02-01,,,,,
2019-03-01,9.720985491917066,0.8099589378000717,5.869851382413885,4.429183120880085,0.0
2019-04-01,8.68065147428395,0.6577270295954163,6.363489377911392,4.362736620230497,0.0
2019-05-01,8.241165032813115,0.925143355846314,6.127209548700292,3.819263217354021,0.0
2019-06-01,6.335144029256333,0.8618099984318561,4.962044340145713,3.347835070211929,0.0
2019-07-01,7.313572739082501,1.0205381426409441,4.410895549432494,2.940438474067601,0.0
2019-08-01,6.5990239650998355,0.5583488081857221,5.480359598533476,2.974252410914176,0.0
2019-09-01,8.029724663187464,0.4601056760823927,6.075572631748075,3.6596152134445448,0.0
2019-10-01,6.959674166385375,0.864509010422033,6.965807662110494,4.310580195619718,0.0
2019-11-01,7.46198605257504,1.1779182537192319,6.38757064219854,4.933530368707785,0.0
2019-12-01,6.438206593829526,1.351018863197139,7.601174760649769,4.96339283279456,0.0
2020-01-01,6.920581855069057,0.8922473618132756,9.2469389423429,4.5178187038975635,0.0
2020-02-01,7.708861036423964,0.7013461684970228,10.570856484790236,4.303606244837782,0.0
2020-03-01,7.856173383272873,0.5014673712616077,10.120631940804191,3.014828424280701,0.0
2020-04-01,8.056720184168798,0.2761152585855513,9.22373499603427,2.3513501010305036,0.0
2020-05-01,7.572912022143803,0.09869232667160138,8.167834799854223,1.5968180340590485,0.0
2020-06-01,9.280313026228372,0.04011231448054564,6.999708383415953,2.593568966276956,0.0
2020-07-01,9.697841809386807,0.106381366833097,5.870321715309144,3.410343474856492,0.0
2020-08-01,10.928890364113746,0.106381366833097,6.809862970205842,3.697762962306523,0.0
2020-09-01,11.093785382626447,0.10801399077876729,6.814183144338999,3.310052451147035,0.0
2020-10-01,11.173076440122347,0.16177237326846558,6.934006045069051,2.814670831400494,0.0
2020-11-01,10.037980999757455,0.21339859939133599,5.633855379512046,2.693388698024534,0.0
2020-12-01,8.676895422052274,0.2412915439734767,6.30619307862174,3.369650886470953,0.0
2021-01-01,8.69112332937224,0.26864804428229555,6.6878320526759,3.6181717400847413,0.0
2021-02-01,9.095483986221609,0.34093755545806215,6.51248200831061,3.7759036150891387,0.0
2021-03-01,8.704718247266456,0.4992199003699335,6.4704215205676725,3.070081015116121,0.014245014245014244
2021-04-01,7.8662161446872005,0.515296294654298,5.774364610687862,2.4591687663769597,0.026818885740047566
2021-05-01,7.084947004205754,0.6155455427849371,5.8552806704840785,2.3108282122644486,0.026818885740047566
2021-06-01,6.988617307684912,0.4407207805119429,5.445038782064427,2.2173348119854484,0.01257387149503332
2021-07-01,6.2953893837912265,0.29334020666422483,5.373071109469843,2.1941098462572852,0.0
2021-08-01,5.987729859961935,0.13318985315081538,5.294874736637656,1.8148651254349408,0.0
2021-09-01,5.350535085756939,0.15322944357379129,5.189281808881196,1.6265975613591204,0.0
2021-10-01,5.696348001424325,0.2029903535753502,5.787374222634992,1.6777270840646796,0.0
2021-11-01,6.515968833798224,0.3494013553275851,5.781063290486696,2.405675394775092,0.0
2021-12-01,7.114569380617665,0.47354985643166786,6.385098513552038,2.7186502237150507,0.022763487366264514
2022-01-01,7.397279062829319,0.5487860777457564,6.058032970079305,3.011868685824425,0.022763487366264514
2022-02-01,7.5891517394005055,0.5830087621204684,6.668437794349582,2.570170413317839,0.09266300680706835
2022-03-01,7.1702757234625585,0.5065528744824997,6.249381279531295,2.196056400667171,0.09255470747886456
2022-04-01,6.453442968977815,0.43027080399382417,6.255422837118986,1.6908796034307478,0.09975413152494086
2022-05-01,5.618220555594448,0.3159156455601312,5.694462117176704,1.5737068340749703,0.08414342858793725
2022-06-01,6.26875060963107,0.2856325368826873,6.307233524483226,1.7112731446762797,0.07442317781543081
2022-07-01,7.727279014063919,0.34928987204153933,6.8466077155884,1.8711724914568608,0.0672237537693545
2022-08-01,8.773727353161078,0.4246522394247067,7.8422841486596395,1.8115524852603995,0.012934937265554261
2022-09-01,9.368247029483294,0.5792057177815131,7.701509707334797,1.711508829847128,0.030637254901960783
2022-10-01,9.202622169511077,0.7123814731847187,7.725762519092649,1.8541317929096666,0.030637254901960783
2022-11-01,8.90957640411166,0.7075291590438362,7.087376523879375,2.108929905669188,0.04244920859910229
2022-12-01,8.45063965682391,0.6210605614525154,6.665764351091479,2.4869967415405925,0.011811953697141508
2023-01-01,7.924472406595838,0.5128405001913093,5.835138589785932,2.392448326330281,0.011811953697141508
2023-02-01,7.829804670331401,0.41428677609245984,5.997788467535836,2.5606056180739425,0.06390593047034765
2023-03-01,7.410881940494965,0.33899066780142767,6.304613058624387,3.2033721155358714,0.13335037491479207
2023-04-01,7.0966343683002915,0.29073529316896013,6.674167650455125,4.5985608196301815,0.1684011986091489
2023-05-01,6.352973544878305,0.34698952925393756,6.766960398569368,4.831818985246153,0.2312982480088282
2023-06-01,6.15104407049374,0.3301897953883354,6.430799387258655,5.073252784314683,0.3880680417546698
2023-07-01,5.847051879948291,0.29921029567449803,6.409974799082435,4.44151901333742,0.4865285665249326
2023-08-01,5.947655311656244,0.2234606257856568,5.9033610068658655,4.362345851874381,0.5252336965522906
2023-09-01,6.2925663255740725,0.15692702631792566,6.5637121958150315,3.502268722955625,0.6299146168433699
2023-10-01,8.016402616151524,0.09785067330618051,8.094436736748838,2.7127296918481263,1.0549781476058036
2023-11-01,8.553017659738241,0.02977444016873125,8.73222963545248,2.18906523880688,1.2857712266119854
2023-12-01,8.505139698359404,0.12662674041086197,8.733638058836357,5.382264662280996,1.842688820350152
2024-01-01,7.281960556717254,0.23625728139232013,7.6191009050559035,6.495375475131509,2.469021954843086
2024-02-01,7.813917928778584,0.3274836163192289,7.795071550344947,7.614527327865507,3.0523342157674254
2024-03-01,7.689042374151675,0.30314763224823665,7.484439511243493,6.858227216837702,3.469815154628386
2024-04-01,7.484868723065226,0.26621678546416333,6.923331552988217,9.148761011300156,3.63111726674978
2024-05-01,6.493420257430898,0.18880265721603975,6.729898063287848,9.251180287667008,4.788255953674011
2024-06-01,6.33889060023466,0.19742882725067862,6.535309084402783,7.189537417696696,4.781242041885955
2024-07-01,7.43752945426406,0.17240715374163143,6.976642170091359,5.203667131007473,5.496132564715844
2024-08-01,7.6370904018745716,0.14391712525160294,6.611174856482696,5.017141776974087,5.638713455346299
2024-09-01,8.665744652623184,0.10868832132314424,7.331890019085087,5.211056671694506,5.901498873482696
2024-10-01,7.949611570388406,0.31258034894398545,7.743859050263156,4.9068089211190715,6.018176002589203
2024-11-01,7.457498236143565,0.48118598037207516,7.574889744457962,5.596730165498273,5.5260626683443625
2024-12-01,6.363765407208819,0.43527229809475654,7.500384783358864,7.214745092567227,6.872367315405048
2025-01-01,6.511212262347982,0.38775969673600136,8.20746345966831,7.321692276437488,6.864214784175594
